Date,"GLD,IEF,LQD,QQQ,TIP,VNQ","GLD,IEF,QQQ,TIP,VNQ","GLD,IEF,LQD,QQQ,VNQ","GLD,IEF,QQQ,VNQ","GLD,IEF,QQQ,TIP,TLT,VNQ"
2006-02-15,107875.51396616883,108380.72334885373,107036.69276647599,107538.55353755564,107941.94342456595
2006-02-16,108504.7729871517,109012.9293552075,108024.73736037085,108531.23075610414,108571.58994160252
2006-02-17,109023.1988210143,109533.78311349769,108448.31949277669,108956.79892946554,109090.33502073311
2006-02-21,108719.29983772048,109228.46089139735,108060.64831451028,108567.31008520607,108786.24889724291
2006-02-22,109378.09356856943,109890.33992642554,109140.6500178272,109652.37557061105,109445.44831154241
2006-02-23,109016.1013112261,109526.65236420582,108649.9200106326,109159.34468758183,109083.23314031701
2006-02-24,109207.20627197747,109718.65231971272,108943.31943274253,109454.11976561321,109274.45578300167
2006-02-27,109202.57579179811,109714.00015377774,109165.75208576984,109677.59533411068,109269.82245138477
2006-02-28,109275.45103984723,109787.21669576585,108834.18511837884,109344.47375540258,109342.74257582039
2006-03-01,109505.76015978126,110018.6044138361,109614.66146650701,110128.60950715913,109546.73342344379
2006-03-02,109571.70196056334,110084.85503740142,109846.70627406197,110361.74229849828,109396.64166335844
2006-03-03,109216.80269972644,109728.2936900549,109172.13598186184,109684.00916224683,108969.6467946786
2006-03-06,108900.79924757956,109410.8103106927,109375.97353593256,109888.80244532427,108488.48812623267
2006-03-07,108470.04611438344,108978.03984736752,108432.81887974586,108941.22563902466,108190.39659606709
2006-03-08,108182.64314069434,108689.29089002022,108296.83146394441,108804.60062178408,107968.91555846565
2006-03-09,108200.09938693469,108706.82888844938,108549.28365044904,109058.2364757368,107991.3268586511
2006-03-10,108277.18852835854,108784.27905858234,108869.72701798694,109380.1822995947,107943.39055334018
2006-03-13,108292.85938952953,108800.02331051463,108840.45856848208,109350.77661970409,107932.62406765051
2006-03-14,109117.80057840004,109628.82791577558,110025.7433595127,110541.61883150137,108728.68512478509
2006-03-15,109637.25814319756,110150.71823686777,111410.31998610935,111932.68729445325,108958.14492623255
2006-03-16,110120.22130292613,110635.94324000098,111767.56753517063,112291.60986285421,109570.26541829004
2006-03-17,110268.71844713828,110785.13583536602,112238.36045663664,112764.61018154523,109592.95994025283
2006-03-20,109877.12858223173,110391.7120522083,111447.43594766075,111969.97728086103,109350.24316990378
2006-03-21,109075.55452255766,109586.38401055096,110320.83788113874,110838.0969568276,108613.13263155025
2006-03-22,109237.64927906496,109749.23789940315,110485.42668731156,111003.4574671987,108793.22194044059
2006-03-23,109182.03869837274,109693.36687974649,110504.15436310694,111022.27295106786,108662.77136661216
2006-03-24,109712.05563424069,110225.86602421895,111043.27812807934,111563.92449470572,109260.92574394261
2006-03-27,109380.8052935288,109893.06435110555,110736.85014185535,111256.05976579589,108911.5515615543
2006-03-28,109231.61509834268,109743.17545902668,111038.19782248532,111558.82036918585,108536.22973362637
2006-03-29,110053.11822248285,110568.52589819657,113105.14770734395,113635.46152005979,109004.57295464669
2006-03-30,109919.99024426751,110434.77444667187,113098.04038439706,113628.32087315191,108709.01291079492
2006-03-31,109843.54834658658,110357.97455149441,112900.09053528578,113429.44290059675,108643.34123800645
2006-04-03,109380.14989090773,109892.40587906181,112161.44307916494,112687.33216312535,108285.30326006029
2006-04-04,109284.83584730746,109796.64545474586,112063.70541207836,112589.13623542084,108190.9432676257
2006-04-05,110060.52012612739,110575.9624669012,112859.1136115829,113388.27384922256,108958.86329196148
2006-04-06,110306.07839014432,110822.67074480372,113110.91587442145,113641.25673222532,109201.96362701866
2006-04-07,108976.43334178219,109486.7986192359,111747.46091887327,112271.4089730727,107885.62773395458
2006-04-10,108999.40555807261,109509.87842045253,111771.01726737371,112295.0757697467,107908.3700085816
2006-04-11,108291.59767551022,108798.75568755699,111045.21140945354,111565.86684061709,107207.64696797896
2006-04-12,108488.81534090413,108996.89697510874,111247.44388009238,111769.0475145405,107402.89057229582
2006-04-13,108182.64782549969,108689.29559676575,110933.49120782073,111453.62281874014,107099.78765748894
2006-04-17,108323.47481145554,108830.7821125076,111077.89910984914,111598.70780317074,107239.20502797746
2006-04-18,110427.36663467396,110944.5270140583,113235.28820841946,113766.21220826393,109322.03783018872
2006-04-19,111933.93537701895,112458.15141376527,114780.16563277764,115318.33306807748,110813.52648978248
2006-04-20,110631.76529421819,111149.88292624324,113444.88426986932,113976.79099851727,109524.3905500997
2006-04-21,111104.92420309382,111625.25776264009,113930.0745541959,114464.25618469217,109992.81334883328
2006-04-24,110196.48209357646,110712.56117997605,112998.5327885376,113528.34671804533,109093.4643406137
2006-04-25,110290.88505934668,110807.40625964502,113095.33621111746,113625.60402086985,109186.92237470191
2006-04-26,110529.47155561546,111047.11011917879,113339.98942970783,113871.40434004558,109423.12072630398
2006-04-27,110910.2438044122,111429.66562448746,113730.44386730126,114263.68949344366,109800.08161431787
2006-04-28,111537.55433649632,112059.91401665694,114373.70550670743,114909.9671806556,110421.11304710263
2006-05-01,110643.23365351361,111161.40499487924,113456.64424395608,113988.60611135609,109535.74411622151
2006-05-02,110916.15882072841,111435.60834237962,113736.5092892862,114269.78335424967,109805.93742395271
2006-05-03,110880.10564524104,111399.38632039633,113699.53936197962,114232.64008679455,109770.24512470984
2006-05-04,112180.75258063759,112706.12452721458,115033.25884724336,115572.61295556612,111057.87316301618
2006-05-05,113243.5096080223,113773.85872506187,116123.03941485895,116667.50315523251,112109.99246543889
2006-05-08,113300.83437233992,113831.45195631632,116181.82182004352,116726.56117228839,112166.74343437278
2006-05-09,113864.81365719084,114398.07250437768,116760.14183988923,117307.59274948502,112725.07753752939
2006-05-10,113525.78751828703,114057.45861696587,116412.49502262911,116958.31592764177,112389.44489942364
2006-05-11,111917.33553833768,112441.47383367688,114763.1436972324,115301.2313221282,110797.09280810018
2006-05-12,110798.06933232151,111316.96580986341,113615.41704864282,114148.1233508729,109689.0299587799
2006-05-15,110006.76439915023,110521.9549877271,112803.9909963959,113332.89278174745,108905.64563589229
2006-05-16,109922.60524902755,110437.40169818653,112717.69186684187,113246.18902321448,108822.32888141506
2006-05-17,108408.80777066921,108916.51470839567,111165.4018958406,111686.62086170066,107323.68384223896
2006-05-18,107556.58414044142,108060.29989093449,110291.50811997861,110808.62967781104,106479.99059134611
2006-05-19,107360.86980191413,107863.66897072415,110090.81720245472,110606.99778485141,106286.23526626284
2006-05-22,106697.96313215565,107197.65773481257,109411.05429500696,109924.0476868425,105629.96399730309
2006-05-23,106225.65947012792,106723.14215060936,108926.7410045476,109437.46360647817,105162.38788477701
2006-05-24,105795.90783005925,106291.37787066716,108486.0617390336,108994.71813702722,104736.93786740406
2006-05-25,107310.45368801715,107813.01674491592,110039.11911925803,110555.05730590025,106236.32379523291
2006-05-26,108040.5343501338,108546.51656664589,110787.76410382669,111307.21244702839,106959.09667477693
2006-05-30,106700.93894949595,107200.64748868757,109414.10578074328,109927.11348001809,105632.9100280359
2006-05-31,106671.775150683,107171.34710814022,109384.20041159,109897.06789416682,105604.0381458724
2006-06-01,107806.79352952028,108311.68107633996,110548.07977561295,111066.40431576483,106727.6954957729
2006-06-02,109177.15402721729,109688.45933239235,111953.2854835378,112478.19858320022,108084.33929464067
2006-06-05,109408.10039328906,109920.48728099148,112190.10430046514,112716.12776771272,108312.97399034948
2006-06-06,108109.77697997735,108616.08347792267,110858.76741926919,111378.54867427632,107027.64621670578
2006-06-07,108458.03110207604,108965.96856559986,111215.87686674952,111737.33249358222,107372.41447000067
2006-06-08,107501.85878742438,108005.31824470687,110235.39122332481,110752.2496670017,106425.81301476226
2006-06-09,107695.9983050447,108200.36696871005,110434.46727575942,110952.25912328687,106618.00928219511
2006-06-12,106589.47843223861,107088.66497253493,109299.81107119682,109812.28287918444,105522.56518096106
2006-06-13,103407.18934734313,103891.47239151697,106036.60347445331,106533.77514714743,102372.12939382074
2006-06-14,102636.20915425118,103116.88149555936,105246.01897508217,105739.4838502641,101608.86636940793
2006-06-15,105117.03163543294,105609.32232040584,107789.9232373281,108295.31566484379,104064.85692141458
2006-06-16,105200.54849105782,105693.2303074147,107875.5637402682,108381.35770867356,104147.53781047616
2006-06-19,103908.83530129016,104395.46768530401,106551.00516585383,107050.5887033283,102868.7540949801
2006-06-20,104130.38623080193,104618.05619604452,106778.18964123033,107278.83837394809,103088.0873982683
2006-06-21,105564.31574783506,106058.70118185718,108248.58078683268,108756.12371270091,104507.66391887418
2006-06-22,104704.73039960979,105195.09016953838,107367.1381009083,107870.54822432731,103656.68263750536
2006-06-23,104337.63480232457,104826.27536709461,106990.70808156214,107492.353245182,103293.26150380686
2006-06-26,105251.49724535672,105744.41766811984,107927.80800772397,108433.84693276683,104197.97659041459
2006-06-27,104810.76223278714,105301.61857765676,107475.86608704987,107979.7860011729,103761.6531392123
2006-06-28,104930.99492955834,105422.4143557453,107599.1560330648,108103.65401425787,103880.6823601873
2006-06-29,107692.77592844458,108197.12950087343,110431.16296131136,110948.93931596664,106614.81916015092
2006-06-30,109277.00146876255,109788.7743857473,112055.67182276527,112581.06497918042,108183.18730772399
2006-07-03,111192.47442955786,111713.21800982377,114019.85098759728,114554.45355103652,110079.48723648653
2006-07-05,111265.98611097434,111787.07396576394,114095.23190707008,114630.18790749801,110152.26309868162
2006-07-06,111753.74090406756,112277.11304274012,114595.38921638696,115132.69029424984,110635.13568332633
2006-07-07,111213.46050562071,111734.30236919617,114041.37069275517,114576.07415519966,110100.26325126589
2006-07-10,111427.0277846166,111948.86983988725,114260.36851119445,114796.09878426982,110311.69281682749
2006-07-11,112633.80153171341,113161.29522559413,115497.82782240794,116039.36014586485,111506.38729567936
2006-07-12,113493.70359856654,114025.22443981734,116379.5952804083,116925.26192906668,112357.68212546351
2006-07-13,112851.38749924397,113379.90020539441,115720.94651566575,116263.52497121575,111721.79532449154
2006-07-14,112003.30590692614,112527.8468240953,114851.30010049704,115389.80106253334,110882.20265155222
2006-07-17,110910.82540557378,111430.24994944011,113731.04025728286,114264.28867970688,109800.65739391059
2006-07-18,111402.88536001954,111924.6143499709,114235.61219860084,114771.22639725532,110287.7920471583
2006-07-19,113219.3332899787,113749.56918296704,116098.24834698408,116642.59584998035,112086.05814158141
2006-07-20,111714.41456030411,112237.60252337343,114555.06289143738,115092.17489207812,110596.2029787654
2006-07-21,110001.7720356848,110516.93924371146,112798.87168826538,113327.74947082065,108900.70324376372
2006-07-24,110860.06429385542,111379.25111009504,113678.98840373987,114211.99277169358,109750.40437833396
2006-07-25,111490.49413919702,112012.63342408574,114325.44867358054,114861.48408669372,110374.52390143843
2006-07-26,112026.1536147102,112550.8015336995,114874.72877451757,115413.33958610271,110904.82166394762
2006-07-27,112337.15159145156,112863.25599569938,115193.63473598134,115733.7407954818,111212.70668932279
2006-07-28,113544.67571502949,114076.43527209763,116431.86350407577,116977.77522169465,112408.14403372108
2006-07-31,113324.94452254422,113855.67502069038,116206.54503757857,116751.40030907221,112190.61225270147
2006-08-01,113536.47380623002,114073.36528769539,116428.90313287266,116987.05421729112,112405.11894577854
2006-08-02,113711.26339591327,114240.77123202989,116572.98374218674,117095.38278070472,112570.07669062715
2006-08-03,113744.65307000742,114283.00162788949,116643.97421042365,117204.94818707323,112611.68949531432
2006-08-04,114417.01897997671,115046.00201225872,117293.12353071559,117979.58127400363,113363.53151158514
2006-08-07,114260.39627286089,114865.90924499223,117082.48874288163,117697.2807723323,113186.07248006792
2006-08-08,114166.19965089562,114709.28393284905,116873.56656483005,117310.34833184481,113031.7377079064
2006-08-09,114140.53199571313,114694.67916738057,116818.35337602897,117255.31184854738,113017.34652732256
2006-08-10,113998.32249745536,114500.85046747491,116693.05360407765,117056.45806501815,112826.35244195431
2006-08-11,113647.51245433673,114101.1262877147,116301.37856579079,116562.70262548943,112432.47395982017
2006-08-14,113518.07251088784,113975.79326479239,116226.558790037,116532.35842809785,112308.97384816936
2006-08-15,114050.0706268337,114488.51801058883,116826.98489238613,117133.80670066165,112814.20033896623
2006-08-16,114449.06236582628,114858.31432190727,117310.86337651595,117615.05840260856,113178.5886276314
2006-08-17,114263.93572413413,114621.8730777967,117101.00683863027,117306.09034040425,112945.60517789352
2006-08-18,114578.5290874286,114971.01496860234,117390.03213461976,117631.06544764277,113289.64110307189
2006-08-21,114910.66458368443,115369.8571447949,117745.83263067104,118108.37545018463,113682.6504803481
2006-08-22,115026.06466047154,115500.94296305793,117841.88200961072,118216.27987858327,113811.81925657204
2006-08-23,114845.31177867095,115266.25909140025,117652.18519604128,117933.13083025411,113580.5674788954
2006-08-24,114851.0475447,115274.23710190087,117743.55879021491,118083.12528031264,113588.42881635144
2006-08-25,115015.0503153587,115439.24069353995,117872.17956342586,118187.52087381498,113751.01934129909
2006-08-28,114965.53480050413,115357.74557722574,117944.54027654328,118284.98442467862,113670.71603631905
2006-08-29,115024.26205060461,115409.95687339963,118014.89158107174,118350.6180962746,113722.1637773578
2006-08-30,115208.55649813764,115636.84301980081,118237.55442079618,118666.51790475464,113945.73186627193
2006-08-31,115512.17356237686,115907.6141639662,118571.08441814987,118957.67532340047,114212.5431643364
2006-09-01,115449.46268279999,115876.71523728165,118501.06012322259,118937.6230137015,114160.9366621201
2006-09-05,115288.10767535205,115799.21777514601,118452.60544102793,119110.91663420777,113949.34796655076
2006-09-06,115164.29733936036,115619.14791295787,118301.76706981237,118851.03947895824,113776.49018344171
2006-09-07,114972.58555411518,115286.4164271777,118101.88810621889,118418.52591539224,113565.3248799791
2006-09-08,115049.76171072898,115344.63875259811,118232.96234725737,118555.65455153369,113629.81387831504
2006-09-11,114724.79813176037,114892.50129688751,117889.53031305324,117997.72074955615,113256.61852870778
2006-09-12,115023.68269401114,115247.90515927377,118225.42475825477,118446.18108131686,113653.6977404558
2006-09-13,115292.56353200003,115501.43712214698,118507.61436494907,118707.08269324093,113861.78767007963
2006-09-14,114958.20439326299,115148.10316112827,118036.94700454288,118114.82218248038,113532.23867478759
2006-09-15,114904.19394808971,115103.86133651924,118092.29040529068,118265.39706216892,113478.63549021358
2006-09-18,114859.0864702955,115028.69858453388,118058.46620312014,118191.43212576293,113381.78241453263
2006-09-19,115217.46953304582,115348.62502196961,118460.37324965821,118553.9581550643,113899.63609274192
2006-09-20,115257.20921493243,115323.4885233687,118572.48393368929,118610.77324785107,113915.57345918592
2006-09-21,115878.65091970246,115912.93437377701,119195.50624670443,119169.38141864307,114595.40331740885
2006-09-22,116177.64500456997,116316.8521553637,119478.49805094251,119606.42335644862,115029.7876026222
2006-09-25,116449.43318279635,116632.97413070781,119740.1966078794,119927.74245454154,115447.21747468573
2006-09-26,116212.58283704908,116435.71097393303,119477.8212785056,119716.93163082731,115190.51644075809
2006-09-27,116355.42748252631,116667.32745579012,119683.62110126368,120110.16847792536,115300.70063409064
2006-09-28,116317.25426132815,116597.24673546923,119622.59882881783,119981.21175172758,115205.27260961046
2006-09-29,116211.13103985252,116467.63777696973,119492.05435482577,119796.89484903932,115074.3479090984
2006-10-02,116308.26200051214,116522.90988451417,119584.51096387315,119816.17295556377,115182.48620173748
